Individual,Spouse.ID,Day,Female.Dummy,Profit,Occupation
KB080101,KB080202,6,0,900,1
KB080202,KB080101,1,1,200,1
KB080202,KB080101,2,1,720,1
KB080202,KB080101,3,1,900,1
KB100101,KB100202,1,0,700,1
KB100101,KB100202,2,0,1500,1
KB100101,KB100202,3,0,500,1
KB100202,KB100101,1,1,700,1
KB100202,KB100101,2,1,1500,1
KB100202,KB100101,3,1,500,1
NY010101,NY010202,1,0,550,1
NY010101,NY010202,2,0,200,1
NY010101,NY010202,3,0,300,1
NY010101,NY010202,4,0,200,1
NY010101,NY010202,5,0,280,1
NY010202,NY010101,1,1,100,2
NY010202,NY010101,2,1,220,2
NY010202,NY010101,3,1,440,2
NY010202,NY010101,4,1,-60,2
NY020216,,,1,,5
NY030101,NY030202,1,0,300,1
NY030101,NY030202,2,0,400,1
NY030202,NY030101,,1,,5
NY040101,NY040202,1,0,300,1
NY040101,NY040202,2,0,500,1
NY040202,NY040101,,1,,5
NY050101,NY050202,1,0,300,1
NY050101,NY050202,2,0,600,1
NY050101,NY050202,3,0,500,1
NY050202,NY050101,1,1,500,2
NY050202,NY050101,2,1,-600,2
NY050202,NY050101,3,1,350,2
NY080101,NY080202,1,0,400,1
NY080101,NY080202,2,0,500,1
NY080101,NY080202,3,0,250,1
NY080202,NY080101,1,1,250,2
NY080202,NY080101,2,1,0,2
NY080202,NY080101,3,1,0,2
NY120101,NY120202,1,0,550,1
NY120101,NY120202,2,0,200,1
NY120101,NY120202,3,0,130,1
NY120202,NY120101,1,1,2000,2
NY120202,NY120101,2,1,-500,2
NY120202,NY120101,3,1,300,2
NY130101,NY130202,1,0,500,1
NY130101,NY130202,2,0,500,1
NY130101,NY130202,3,0,500,1
NY140101,NY140202,1,0,200,1
NY140101,NY140202,2,0,200,1
NY140101,NY140202,3,0,200,1
NY140202,NY140101,,1,,5
NY140235,NY140101,,1,,5
NY160101,NY160202,1,0,400,1
NY160101,NY160202,2,0,500,1
NY160101,NY160202,3,0,450,1
NY160202,NY160101,1,1,0,2
NY160202,NY160101,2,1,300,2
NY160202,NY160101,3,1,-50,2
